rank display,institution,location code,location,size,focus,research,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,irn score,irn rank,ger score,ger rank,SUS SCORE,SUS RANK,Overall Score
57,The Hong Kong Polytechnic University,Hong Kong SAR,Asia,L,CO,VH,A,68,99,35.6,265,65,204,94.9,51,100,39,91.9,110,78.9,338,64.5,181,77.4,173=,72.1
58,Carnegie Mellon University,United States,Americas,L,FC,VH,B,69.8,92,80.1,75,40.9,383,98.9,28,33.7,472,99.1,58,79.9,324,61.5,196,24.5,492=,72
59,Ludwig-Maximilians-Universitychen,Germany,Europe,XL,FC,VH,A,92.2,41,86.6,59,38.5,410,50,262,75.1,262,37.6,374,95.5,71,66.9,173,62.2,254=,71.6
60,Universiti Malaya (UM),Malaysia,Asia,L,FC,VH,A,82.9,62,95.1,34,75.7,163,29.1,447,60.2,324,64.2,234,91.8,140,69.3,163,83.6,132=,71.2
61,Duke University,United States,Americas,L,FC,VH,B,86,52,74.7,86,100,6,35.1,382,16.3,647,61,243,93.3,111,85.5,99,75,186=,70.8
62,City University of Hong Kong,Hong Kong SAR,Asia,M,CO,VH,A,60.9,120,30.8,305,89.5,88,100,6,100,13,100,7,62.9,588,37.5,342,72.9,201,70.7
63,KU Leuven,Belgium,Europe,XL,FC,VH,A,84.6,55,49.6,181,7.1,701+,91,72,93.8,163,47.7,305,99.5,8,75.3,139,51.2,313=,70.3
64,Sorbonne University,France,Europe,XL,FC,VH,A,87.2,49,52,166,43,363,72.3,144,33.8,471,46.7,315,99.8,4,79.7,125,87.6,111,70.3
65,The University of Auckland,New Zealand,Oceania,XL,FC,VH,A,82.2,65,44.7,205,15.5,701+,66.9,166,100,76,84,156,87.4,206,92.9,64,99.7,5,69.7
66,University of Texas at Austin,United States,Americas,XL,FC,VH,A,93.5,38,86.6,60,8.1,701+,76.7,128,6.1,701+,11.7,685,91.7,144,81.7,113,52.1,305=,69.5
67,Korea University,South Korea,Asia,L,FC,VH,B,78.2,72,93.8,40,73,178,45,308,15.2,665,45.7,321,65.7,547,89,81,85.2,124=,69
68,National Taiwan University (NTU),Taiwan,Asia,XL,FC,VH,A,93.4,39,92.1,44,25.5,583,44.3,310,16.7,644,27.4,451,71.5,459,99.9,11,90,94=,68.7
69,The University of Warwick,United Kingdom,Europe,L,FC,VH,A,72.2,86,86.4,61,35.5,445,37.7,367,98.1,119,99.1,57,94.2,92,65.7,175,89.7,98,68.2
70,University of Illinois at Urbana-Champaign,United States,Americas,XL,FC,VH,A,83.9,59,75.7,84,6.4,701+,77.5,124,14,686,56.3,266,90.4,165,81.7,114,65,241=,68.2
71,Universidad de Buenos Aires (UBA),Argentina,Americas,XL,FC,VH,A,94.1,35,94.1,38,71.7,183,1.6,701+,63.9,305,64.6,232,73.4,430,99.8,13,51.8,310=,67.6
72,"University of California, San Diego (UCSD)",United States,Americas,XL,FC,VH,A,89.3,45,57.8,140,50.8,304,67,165,54.6,342,44.3,328,95.5,70,21.7,525,44.3,348=,67.1
73,University Paris-Saclay,France,Europe,XL,CO,VH,A,60.7,121,99.1,12,99.8,25,35,384,35.7,448,58.6,253,98.6,16,70.8,155,72.6,202=,67
74,KTH Royal Institute of Technology ,Sweden,Europe,L,FO,VH,A,45.2,186,55.6,149,62.3,225,86.1,91,92,175,65.9,227,91.1,155,62.4,191,94.8,58,65.7
75,Lund University,Sweden,Europe,L,FC,VH,A,68.3,96,52.5,160,55.5,271,44.6,309,97.4,124,73.4,198,96.7,48,86.5,95,99.6,8,65.6
76,University of Washington,United States,Americas,XL,FC,VH,A,81.9,66,55.5,150,28.6,542,78.8,119,11,701+,32.8,407,95.6,67,68.7,170,66.5,235,65.3
77,The University of Western Australia,Australia,Oceania,L,FC,VH,A,55.5,141,41.8,225,13.1,701+,98.8,30,100,37,99.8,40,94.2,95,78,128,50.8,315=,65.2
78,University of Glasgow,United Kingdom,Europe,XL,FC,VH,A,77.4,75,67.7,110,38,418,32.5,405,95.7,141,99.4,49,97.6,30,33.5,378,98.5,20,65
79,Brown University,United States,Americas,M,FC,VH,B,59.9,123,49.6,180,77.7,151,76.4,130,79.9,239,50.9,289,83.2,277,63.6,186,46.6,333,64.7
80,University of Birmingham,United Kingdom,Europe,XL,FC,VH,A,68.9,94,69,105,39,402,40.5,348,92.6,171,89.3,127,97.5,31,44.5,285,96.8,35,64.1
81,University of Southampton,United Kingdom,Europe,L,FC,VH,A,50.1,161,44.3,208,40.7,385,83.4,100,92.5,173,98,70,97.1,40,49.2,261,96.9,34,64.1
82,The University of Adelaide,Australia,Oceania,L,FC,VH,A,56,138,38.9,242,17.9,701+,87,86,100,78,99.3,53,93.6,108,51.5,246,95.7,49,63.8
83,University of Leeds,United Kingdom,Europe,XL,FC,VH,A,70.5,91,75.9,83,36.4,438,39.8,355,82.5,230,88.5,132,98.8,14,50.9,251,71.8,211=,63.8
84,Ruprecht-Karls-University Heidelberg,Germany,Europe,L,FO,VH,A,76.9,76,59.4,136,99.4,32,32.7,401,54.2,346,53.6,275,94.5,88,25.2,463,77.6,170=,63.7
85,Tokyo Institute of Technology (Tokyo Tech),Japan,Asia,M,FO,VH,A,75.1,80,94.1,37,84.1,114,43.1,320,23.4,556,30.5,424,61.2,613,23.7,475,62.2,254=,63.7
86,Osaka University,Japan,Asia,L,FC,VH,A,82.4,64,87,58,45.2,343,54.9,232,23.9,549,12.2,675,68.2,512,33,387,68,228=,63.5
87,"Trinity College Dublin, The University of Dublin",Ireland,Europe,L,FC,VH,A,69.5,93,47.4,195,20.2,668,58.4,210,99.3,101,88,133,91.3,153,88.6,83,57.7,276=,62.9
88,University of Technology Sydney,Australia,Oceania,L,CO,VH,A,43.9,194,55,153,9.8,701+,97.7,39,96.6,133,86,145,91.4,150,40.2,318,96.3,43,62.4
89,Durham University,United Kingdom,Europe,L,FC,VH,A,59.6,126,83.9,65,26.3,567,40.9,342,97.3,125,84.9,153,89.7,172,39.4,326,98.6,19,61.7
90,Pennsylvania State University,United States,Americas,XL,FC,VH,A,76.6,77,64.5,121,25,592,55.4,226,25.1,533,28,446,97.9,28,61.9,193,96.5,37=,61.7
91,Purdue University,United States,Americas,XL,FC,VH,A,63.3,107,81.1,71,11.4,701+,54.3,235,79.6,242,45.2,325,92.9,123,63.1,188,90.1,93,61.7
92,Universidade de Paulo,Brazil,Americas,XL,FC,VH,A,92.8,40,74.6,87,21.4,646,28.5,456,6.8,701+,2.1,701+,95.9,60,97.9,27,93.6,67,61.6
93,Pontificia Universidad Catica de Chile (UC),Chile,Americas,L,FC,VH,B,93.7,37,98,21,23.7,614,8.8,701+,26,524,3.7,701+,82.5,285,99.9,12,79.3,159=,61.5
94,Lomonosov Moscow State University,Russia,Europe,XL,FC,VH,A,78,73,82.3,70,99.7,30,4.1,701+,19.7,604,91.5,114,88.1,196,95.8,47,3.5,701+,61.4
95,Universidad Nacional Automa de Mico (UNAM),Mexico,Americas,XL,FC,VH,A,97,28,94.4,35,37.4,430,2.4,701+,7.5,701+,2.3,701+,93.2,112,93.2,62,83.4,136=,61.4
96,University of Alberta,Canada,Americas,XL,FC,VH,A,57,136,42.2,222,39.1,400,61.3,194,98.3,116,71,207,96,55,70,159,97.6,28,61.2
97,Freie Universitaet Berlin,Germany,Europe,L,FC,VH,A,80.3,71,56.9,143,5,701+,71.7,150,62.4,314,43.7,330,93.1,113,32.8,389,31.3,435=,60.6
98,Pohang University of Science And Technology (POSTECH),South Korea,Asia,S,FO,VH,B,45.9,178,80,76,99.9,24,96.9,45,27.6,511,2.7,701+,26.6,701+,11,701+,36.6,393=,60.3
99,RWTH Aachen University,Germany,Europe,XL,FC,VH,A,46.6,173,93.7,41,6.3,701+,71.9,149,48.6,373,85.5,149,86.1,233,33.4,379,84.8,127=,59.9
100,University of Copenhagen,Denmark,Europe,XL,FC,VH,A,74,83,31.6,299,99.8,27,23.1,519,84.9,221,15.6,613,98.2,22,90.8,72,73.2,198=,59.6
